Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,vector_id
Hardik Kothadia,"Associate Professor, Indian Institute of Technology, Jodhpur","Fluid Dynamics, Heat Transfer, Multiphase Flow, Renewable Energy, Thermal Energy Storage",1090,https://scholar.google.com/citations?hl=en&user=ePg34qwAAAAJ,17,29,interest_41
Ayan Sadhukhan,IIT Jodhpur (Assistant Professor),plant molecular biology,1081,https://scholar.google.com/citations?hl=en&user=GLOX0tAAAAAJ,18,21,interest_42
Ravindra Brahmajosyula,"Professor, Indian Institute of Technology Jodhpur","Nonlinear Vibrations, Mechatronics, Solar energy",1081,https://scholar.google.com/citations?hl=en&user=tza6ENAAAAAJ,14,17,interest_43
Ravi Prakash Srivastava,"Assistant Professor, Department of Materials Engineering, IIT Jodhpur","Solar Cells, Na-Ion Battery, Coatings, Energy Materials, Characterization Techninques",1065,https://scholar.google.com/citations?hl=en&user=nwltoqwAAAAJ,15,21,interest_44
Harshal Akolekar,"Assistant Professor, IIT Jodhpur; PhD @ UniMelb","Computational Fluid Dynamics, Machine Learning, Turbomachinery",1052,https://scholar.google.com/citations?hl=en&user=lA77iG8AAAAJ,13,18,interest_45
Sudipta Bhattacharyya,"Associate Professor, Department of Bioscience and Bioengineering, IIT Jodhpur, India","Structural Biology, Enzyme Chemistry, Drug designing",959,https://scholar.google.com/citations?hl=en&user=olCBmnsAAAAJ,16,20,interest_46
Dr. Rohan D. Erande,"Assistant Professor, IIT Jodhpur",Synthetic Organic Chemistry,922,https://scholar.google.com/citations?hl=en&user=v7dM-yIAAAAJ,16,23,interest_47
Akshay Moudgil,"Assistant Professor, IIT Jodhpur | NTU Singapore | IIT Delhi","Nano/Microelectronics, Hybrid Sensors, Bioelectronics, Flexible & Printed Electronics",902,https://scholar.google.com/citations?hl=en&user=VY75cwEAAAAJ,16,23,interest_48
TUHINA MUKHERJEE,"Assistant Professor, Department of Mathematics,Indian Institute of Technology Jodhpur",Analysis of Partial Differential Equations,865,https://scholar.google.com/citations?hl=en&user=gntrfNsAAAAJ,18,23,interest_49
Kirankumar Rajshekhar Hiremath,Professor of Mathematics  (IIT Jodhpur),"Mathematical physics, applied mathematics, optics-photonics, scientific computations",831,https://scholar.google.com/citations?hl=en&user=4r5XfNwAAAAJ,13,19,interest_50
Gourhari Ghosh,"Assistant Professor, Department of Mechanical Engineering, IIT Jodhpur","Ultra-precision Finishing, Thermal Spray Coating, Laser Materials Processing, Tribology",824,https://scholar.google.com/citations?hl=en&user=wWObV78AAAAJ,15,18,interest_51
Ananya Debnath,Professor at Indian Institute of Technology Jodhpur,Computational Chemistry for Soft and Bio …,823,https://scholar.google.com/citations?hl=en&user=zk4XJHAAAAAJ,17,25,interest_52
