Name,Affiliation,Interests,Cited By,Profile URL
Dr DS Arya,"Professor, IIT Roorkee","Surface Water Modelling, Urban Floods, Climate Change Studies, GIS and RS Applications",2084,https://scholar.google.com/citations?hl=en&user=1Q6--dIAAAAJ
Mukesh Kumar Pathak,IIT ROORKEE,"Power Electronics and Electric Drives, Electric Vehicle, Solar PV Systems, Control of Electric Motors and Power …",2062,https://scholar.google.com/citations?hl=en&user=kNmUNiEAAAAJ
Dr Nagendra Prasad Pathak,"Professor (HAG), Electronics & Communication Engineering, IIT Roorkee, India","RFICs, Millimeter Wave ICs, THz Technology, Plasmonics, Non-invasive RF Sensors",2054,https://scholar.google.com/citations?hl=en&user=SQsLu-EAAAAJ
Mohit Prakash Mohanty,"Associate Professor, Department of Water Resources Development and Management, IIT …","HydroClimatology, Flood risk management, Vulnerability mapping, River Engineering, Human Health Risk",2027,https://scholar.google.com/citations?hl=en&user=7THkWAEAAAAJ
Rajat Rastogi,Professor Indian Institute of Technology Roorkee,"Non-motorised transportation, pedestrians, RP-SP data, policy analysis, traff",2023,https://scholar.google.com/citations?hl=en&user=QnQH_3wAAAAJ
Vishwas Sawant,"Professor, Department of Civil Engineering, Indian Institute of Technology, Roorkee",Laterally Loaded Pile in Horizontal and …,2005,https://scholar.google.com/citations?hl=en&user=TbG_wIQAAAAJ
Anirban Mitra,"Associate Professor of IIT, Roorkee","Plasmonics, Semiconductor Photonics",1986,https://scholar.google.com/citations?hl=en&user=iOy8hs4AAAAJ
MM Joglekar,"Professor, Department of Mechanical and Industrial Engineering, IIT Roorkee","Computational Mechanics, Soft Active Materials, Structural Dynamics, MEMs",1974,https://scholar.google.com/citations?hl=en&user=7t30oI4AAAAJ
D Benny Karunakar,"Mechanical & Industrial Engineering Department, Indian Institute of Technology Roorkee …","Metal Casting, Composites",1963,https://scholar.google.com/citations?hl=en&user=I9xEukYAAAAJ
Narendra Kumar Samadhiya,"Professor,  Civil Engineering Department, IIT, Roorkee",GeoTechnical,1951,https://scholar.google.com/citations?hl=en&user=BwZb9e0AAAAJ
KS Hari Prasad,Indian Institute of Technology Roorkee,Hydraulics and Water Reources,1949,https://scholar.google.com/citations?hl=en&user=CHz9XqEAAAAJ
