Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Pavitra Singh,"School of Energy Science and Engineering, Indian Institute of Technology Guwahati","Fluidized Bed Technology, CFD, Thermo-Fluids, Particle Physics, Energy Science & Engineering",4411,https://scholar.google.com/citations?hl=en&user=YV5F5EIAAAAJ,25,117
Soumitra Nandi,Indian Institute of Technology Guwahati,High energy physics,4356,https://scholar.google.com/citations?hl=en&user=wHjKirIAAAAJ,29,42
Rashidul Islam,"Research Associate, Indian Institute of Technology Guwahati","High Energy Physics, Particle Physics",4347,https://scholar.google.com/citations?hl=en&user=6bEjyzkAAAAJ,14,18
Somanath Majhi,Indian Institute of Technology Guwahati,Control Systems,4326,https://scholar.google.com/citations?hl=en&user=Vf7gzRcAAAAJ,32,70
Dr. Pankaj Tiwari,"Professor, IIT Guwahati, India","Pyrolysis, Biofuels, Enhanced Oil Recovery",4309,https://scholar.google.com/citations?hl=en&user=uxlZwMIAAAAJ,30,58
Nanda Kishore,"Professor, Department of Chemical Engineering, IIT Guwahati","Biofuels, Bubbles/Drops/Particles, CFD, DFT, Non-Newtonian Fluids",4280,https://scholar.google.com/citations?hl=en&user=ZPQ8h9sAAAAJ,28,75
Perumal Alagarsamy,"Department of Physics, IIT Guwahati",Novel materials for magnetism and Energy …,4238,https://scholar.google.com/citations?hl=en&user=WE7EvdoAAAAJ,36,105
Dipankar Srimani,Indian Institute of Technology Guwahati,"Organic, Organometallic chemistry & Catalysis",4221,https://scholar.google.com/citations?hl=en&user=egjGUTgAAAAJ,34,46
A. Paul,Professor of Chemistry Indian Institute of Technology Guwahati,nanomaterials,4156,https://scholar.google.com/citations?hl=en&user=u2LicBYAAAAJ,30,63
Srimanta Patra (PhD),"DST-INSPIRE Faculty, Indian Institute of Technology, Guwahati",Cancer Biology,4069,https://scholar.google.com/citations?hl=en&user=c3j5QWEAAAAJ,38,57
Shyamanta Moni Hazarika,"Professor, Mechanical Engineering and MF School of Data Sc. & AI, IIT Guwahati, INDIA","Robotic Neurorehabilitation, Artificial Intelligence, Knowledge Representation and Reasoning",3977,https://scholar.google.com/citations?hl=en&user=XqCt3Y8AAAAJ,26,52
